Step: 0, Loss: 0.3557716906070709, Time: 0.08372354507446289
Step: 1, Loss: 0.33278894424438477, Time: 0.07556390762329102
Step: 2, Loss: 0.35477542877197266, Time: 0.07398462295532227
Step: 3, Loss: 0.32452744245529175, Time: 0.07333993911743164
Step: 4, Loss: 0.33094045519828796, Time: 0.07416653633117676
Step: 5, Loss: 0.30225870013237, Time: 0.07317662239074707
Step: 6, Loss: 0.2994479835033417, Time: 0.07349133491516113
Step: 7, Loss: 0.27038782835006714, Time: 0.07302570343017578
Step: 8, Loss: 0.2707812786102295, Time: 0.07340359687805176
Step: 9, Loss: 0.2685486376285553, Time: 0.07396697998046875
Step: 10, Loss: 0.24662023782730103, Time: 0.0738976001739502
Step: 11, Loss: 0.25265613198280334, Time: 0.0730733871459961
Step: 12, Loss: 0.25711536407470703, Time: 0.07368969917297363
Step: 13, Loss: 0.2507033348083496, Time: 0.07310962677001953
Step: 14, Loss: 0.24271342158317566, Time: 0.07388567924499512
Step: 15, Loss: 0.23920071125030518, Time: 0.07301616668701172
Step: 16, Loss: 0.24391019344329834, Time: 0.07386302947998047
Step: 17, Loss: 0.25700709223747253, Time: 0.07371735572814941
Step: 18, Loss: 0.24053485691547394, Time: 0.07338762283325195
Step: 19, Loss: 0.24308401346206665, Time: 0.07307219505310059
Step: 20, Loss: 0.2267242670059204, Time: 0.07349181175231934
Step: 21, Loss: 0.23251847922801971, Time: 0.07315945625305176
Step: 22, Loss: 0.2301299124956131, Time: 0.07380151748657227
Step: 23, Loss: 0.23663169145584106, Time: 0.07304096221923828
Step: 24, Loss: 0.24059948325157166, Time: 0.07379722595214844
Step: 25, Loss: 0.23179875314235687, Time: 0.07394647598266602
Step: 26, Loss: 0.23304679989814758, Time: 0.0740513801574707
Step: 27, Loss: 0.2299915999174118, Time: 0.07314300537109375
Step: 28, Loss: 0.21977654099464417, Time: 0.07342100143432617
Step: 29, Loss: 0.23468178510665894, Time: 0.07313799858093262
Step: 30, Loss: 0.21648530662059784, Time: 0.07334184646606445
Step: 31, Loss: 0.24197205901145935, Time: 0.0729982852935791
Step: 32, Loss: 0.21838685870170593, Time: 0.07359194755554199
Step: 33, Loss: 0.22228498756885529, Time: 0.07319808006286621
Step: 34, Loss: 0.22706007957458496, Time: 0.07472610473632812
Step: 35, Loss: 0.22500407695770264, Time: 0.07328915596008301
Step: 36, Loss: 0.2138628214597702, Time: 0.07380390167236328
Step: 37, Loss: 0.21802499890327454, Time: 0.07302021980285645
Step: 38, Loss: 0.22873398661613464, Time: 0.07386898994445801
Step: 39, Loss: 0.21950902044773102, Time: 0.0730900764465332
Step: 40, Loss: 0.2093687206506729, Time: 0.07342648506164551
Step: 41, Loss: 0.21701568365097046, Time: 0.07311248779296875
Step: 42, Loss: 0.21341924369335175, Time: 0.07340049743652344
Step: 43, Loss: 0.2130417376756668, Time: 0.07308673858642578
Step: 44, Loss: 0.2166745513677597, Time: 0.07390975952148438
Step: 45, Loss: 0.2078288346529007, Time: 0.07319068908691406
Step: 46, Loss: 0.21407057344913483, Time: 0.07369542121887207
Step: 47, Loss: 0.21107284724712372, Time: 0.07307004928588867
Step: 48, Loss: 0.21452511847019196, Time: 0.0736839771270752
Step: 49, Loss: 0.20726436376571655, Time: 0.07308816909790039
Step: 50, Loss: 0.21791547536849976, Time: 0.07378959655761719
Step: 51, Loss: 0.2136044204235077, Time: 0.07322049140930176
Step: 52, Loss: 0.2204171121120453, Time: 0.07361483573913574
Step: 53, Loss: 0.21484233438968658, Time: 0.07315945625305176
Step: 54, Loss: 0.21158632636070251, Time: 0.07338428497314453
Step: 55, Loss: 0.20968297123908997, Time: 0.07309412956237793
Step: 56, Loss: 0.21079246699810028, Time: 0.07383441925048828
Step: 57, Loss: 0.2129826843738556, Time: 0.07339143753051758
Step: 58, Loss: 0.21758469939231873, Time: 0.07462596893310547
Step: 59, Loss: 0.211665078997612, Time: 0.07330012321472168
Step: 60, Loss: 0.21554985642433167, Time: 0.07408404350280762
Step: 61, Loss: 0.2035408616065979, Time: 0.07331061363220215
Step: 62, Loss: 0.21500632166862488, Time: 0.07355713844299316
Step: 63, Loss: 0.20508146286010742, Time: 0.07336187362670898
Step: 64, Loss: 0.21608540415763855, Time: 0.07359743118286133
Step: 65, Loss: 0.22320127487182617, Time: 0.07343244552612305
Step: 66, Loss: 0.21286961436271667, Time: 0.0746147632598877
Step: 67, Loss: 0.19885455071926117, Time: 0.0732569694519043
Step: 68, Loss: 0.2133006453514099, Time: 0.07403445243835449
Step: 69, Loss: 0.20183998346328735, Time: 0.07326269149780273
Step: 70, Loss: 0.20493537187576294, Time: 0.07392263412475586
Step: 71, Loss: 0.20471176505088806, Time: 0.07323932647705078
Step: 72, Loss: 0.2055521011352539, Time: 0.07350397109985352
Step: 73, Loss: 0.20711131393909454, Time: 0.07324790954589844
Step: 74, Loss: 0.209905743598938, Time: 0.0748748779296875
Step: 75, Loss: 0.19491592049598694, Time: 0.0733649730682373
Step: 76, Loss: 0.20946386456489563, Time: 0.07398366928100586
Step: 77, Loss: 0.21136043965816498, Time: 0.0732583999633789
Step: 78, Loss: 0.20120486617088318, Time: 0.07402586936950684
Step: 79, Loss: 0.20289355516433716, Time: 0.07325983047485352
Step: 80, Loss: 0.20181971788406372, Time: 0.07360720634460449
Step: 81, Loss: 0.19691936671733856, Time: 0.07338213920593262
Step: 82, Loss: 0.20918089151382446, Time: 0.07379555702209473
Step: 83, Loss: 0.19914093613624573, Time: 0.07366204261779785
